ParameterName,IsChangePoint,Value,Time
Temperature,Yes,26,01/03/2024 10:26:34
Temperature,Yes,3,01/03/2024 10:25:43
Temperature,Yes,61,01/03/2024 10:26:45
Temperature,Yes,81,01/03/2024 10:26:40
Temperature,Yes,26,01/03/2024 10:26:26
Temperature,Yes,73,01/03/2024 10:29:45
Temperature,Yes,12,01/03/2024 10:29:40
Temperature,Yes,28,01/03/2024 10:29:34
Temperature,Yes,17,01/03/2024 10:29:22
Temperature,Yes,50,01/03/2024 10:29:17
Temperature,Yes,66,01/03/2024 10:29:12
Temperature,Yes,84,01/03/2024 10:29:02
Temperature,Yes,64,01/03/2024 10:28:57
Temperature,Yes,56,01/03/2024 10:28:51
Temperature,Yes,68,01/03/2024 10:30:49
Temperature,Yes,2,01/03/2024 10:30:33
Temperature,Yes,89,01/03/2024 10:30:28
Temperature,Yes,19,01/03/2024 10:30:13
Temperature,Yes,71,01/03/2024 10:30:07
Temperature,Yes,44,01/03/2024 10:30:02
Temperature,Yes,10,01/03/2024 10:29:57
Temperature,Yes,46,01/03/2024 10:31:52
Temperature,Yes,13,01/03/2024 10:31:42
Temperature,Yes,92,01/03/2024 10:31:29
Temperature,Yes,56,01/03/2024 10:31:24
Temperature,Yes,58,01/03/2024 10:31:01
Temperature,Yes,46,01/03/2024 10:32:52
Temperature,Yes,89,01/03/2024 10:32:47
Temperature,Yes,67,01/03/2024 10:32:38
Temperature,Yes,1,01/03/2024 10:32:25
Temperature,Yes,50,01/03/2024 10:32:20
Temperature,Yes,97,01/03/2024 10:32:15
Temperature,Yes,80,01/03/2024 10:32:09
Temperature,Yes,12,01/03/2024 10:32:01
Temperature,Yes,21,01/03/2024 10:33:54
Temperature,Yes,53,01/03/2024 10:33:49
Temperature,Yes,68,01/03/2024 10:33:43
Temperature,Yes,13,01/03/2024 10:33:38
Temperature,Yes,92,01/03/2024 10:33:31
Temperature,Yes,43,01/03/2024 10:33:14
Temperature,Yes,0,01/03/2024 10:33:06
Temperature,Yes,37,01/03/2024 10:34:56
Temperature,Yes,57,01/03/2024 10:34:51
Temperature,Yes,79,01/03/2024 10:34:45
Temperature,Yes,97,01/03/2024 10:34:37
Temperature,Yes,93,01/03/2024 10:34:31
Temperature,Yes,81,01/03/2024 10:34:23
Temperature,Yes,76,01/03/2024 10:34:16
Temperature,Yes,22,01/03/2024 10:34:11
Temperature,Yes,42,01/03/2024 10:35:56
Temperature,Yes,82,01/03/2024 10:35:51
Temperature,Yes,5,01/03/2024 10:35:46
Temperature,Yes,85,01/03/2024 10:35:30
Temperature,Yes,97,01/03/2024 10:35:19
Temperature,Yes,83,01/03/2024 10:35:05
Temperature,Yes,57,01/03/2024 10:36:59
Temperature,Yes,54,01/03/2024 10:36:54
Temperature,Yes,88,01/03/2024 10:36:48
Temperature,Yes,3,01/03/2024 10:36:39
Temperature,Yes,76,01/03/2024 10:36:31
Temperature,Yes,13,01/03/2024 10:36:24
Temperature,Yes,45,01/03/2024 10:36:15
Temperature,Yes,99,01/03/2024 10:36:04
Temperature,Yes,17,01/03/2024 10:38:01
Temperature,Yes,89,01/03/2024 10:37:56
Temperature,Yes,12,01/03/2024 10:37:46
Temperature,Yes,86,01/03/2024 10:37:41
Temperature,Yes,91,01/03/2024 10:37:27
Temperature,Yes,96,01/03/2024 10:37:12
Temperature,Yes,26,01/03/2024 10:39:03
Temperature,Yes,69,01/03/2024 10:38:51
Temperature,Yes,88,01/03/2024 10:38:28
Temperature,Yes,2,01/03/2024 10:38:20
Temperature,Yes,4,01/03/2024 10:40:03
Temperature,Yes,9,01/03/2024 10:39:57
Temperature,Yes,71,01/03/2024 10:39:39
Temperature,Yes,33,01/03/2024 10:39:34
Temperature,Yes,1,01/03/2024 10:39:28
Temperature,Yes,7,01/03/2024 10:39:22
Temperature,Yes,91,01/03/2024 10:39:17
Temperature,Yes,70,01/03/2024 10:41:05
Temperature,Yes,61,01/03/2024 10:41:00
Temperature,Yes,13,01/03/2024 10:40:50
Temperature,Yes,57,01/03/2024 10:40:32
Temperature,Yes,96,01/03/2024 10:40:25
Temperature,Yes,74,01/03/2024 10:42:06
Temperature,Yes,24,01/03/2024 10:42:00
Temperature,Yes,5,01/03/2024 10:41:47
Temperature,Yes,38,01/03/2024 10:41:39
Temperature,Yes,84,01/03/2024 10:41:28
Temperature,Yes,17,01/03/2024 10:41:15
Temperature,Yes,67,01/03/2024 10:43:10
Temperature,Yes,63,01/03/2024 10:43:05
Temperature,Yes,4,01/03/2024 10:42:55
Temperature,Yes,90,01/03/2024 10:42:46
Temperature,Yes,15,01/03/2024 10:42:40
Temperature,Yes,2,01/03/2024 10:42:30
Temperature,Yes,85,01/03/2024 10:42:22
Temperature,Yes,96,01/03/2024 10:44:12
Temperature,Yes,85,01/03/2024 10:43:50
Temperature,Yes,71,01/03/2024 10:43:45
Temperature,Yes,56,01/03/2024 10:43:38
Temperature,Yes,90,01/03/2024 10:43:21
Temperature,Yes,53,01/03/2024 10:46:34
Temperature,Yes,68,01/03/2024 10:46:09
Temperature,Yes,7,01/03/2024 10:44:54
Temperature,Yes,94,01/03/2024 10:44:41
Temperature,Yes,4,01/03/2024 10:44:29
Temperature,Yes,89,01/03/2024 10:47:34
Temperature,Yes,92,01/03/2024 10:46:14
Temperature,Yes,7,01/03/2024 10:44:54
Temperature,Yes,94,01/03/2024 10:44:41
Temperature,Yes,50,01/03/2024 10:48:34
Temperature,Yes,15,01/03/2024 10:48:09
Temperature,Yes,2,01/03/2024 10:47:44
Temperature,Yes,92,01/03/2024 10:46:14
Temperature,Yes,7,01/03/2024 10:44:54
Temperature,Yes,9,01/03/2024 10:49:39
Temperature,Yes,28,01/03/2024 10:48:19
Temperature,Yes,89,01/03/2024 10:47:54
Temperature,Yes,92,01/03/2024 10:46:14
Temperature,Yes,27,01/03/2024 10:50:40
Temperature,Yes,30,01/03/2024 10:50:14
Temperature,Yes,9,01/03/2024 10:49:44
Temperature,Yes,28,01/03/2024 10:48:19
Temperature,Yes,89,01/03/2024 10:47:54
Temperature,Yes,92,01/03/2024 10:46:14
Temperature,Yes,61,01/03/2024 10:51:45
Temperature,Yes,87,01/03/2024 10:51:05
Temperature,Yes,9,01/03/2024 10:49:44
Temperature,Yes,28,01/03/2024 10:48:19
Temperature,Yes,89,01/03/2024 10:47:54
Temperature,Yes,18,01/03/2024 10:52:45
Temperature,Yes,9,01/03/2024 10:52:10
Temperature,Yes,87,01/03/2024 10:51:05
Temperature,Yes,9,01/03/2024 10:49:44
Temperature,Yes,28,01/03/2024 10:48:19
Temperature,Yes,98,01/03/2024 10:53:45
Temperature,Yes,18,01/03/2024 10:52:45
Temperature,Yes,9,01/03/2024 10:52:10
Temperature,Yes,87,01/03/2024 10:51:05
Temperature,Yes,9,01/03/2024 10:49:44
Temperature,Yes,4,01/03/2024 10:54:50
Temperature,Yes,5,01/03/2024 10:53:40
Temperature,Yes,18,01/03/2024 10:52:45
Temperature,Yes,9,01/03/2024 10:52:10
Temperature,Yes,87,01/03/2024 10:51:05
Temperature,Yes,44,01/03/2024 10:55:50
Temperature,Yes,64,01/03/2024 10:55:25
Temperature,Yes,80,01/03/2024 10:55:00
Temperature,Yes,5,01/03/2024 10:53:40
Temperature,Yes,18,01/03/2024 10:52:45
Temperature,Yes,9,01/03/2024 10:52:10
Temperature,Yes,5,01/03/2024 10:56:50
Temperature,Yes,89,01/03/2024 10:56:25
Temperature,Yes,64,01/03/2024 10:55:25
Temperature,Yes,80,01/03/2024 10:55:00
Temperature,Yes,5,01/03/2024 10:53:40
Temperature,Yes,18,01/03/2024 10:52:45
Temperature,Yes,62,01/03/2024 10:57:55
Temperature,Yes,96,01/03/2024 10:57:25
Temperature,Yes,93,01/03/2024 10:56:30
Temperature,Yes,64,01/03/2024 10:55:25
Temperature,Yes,80,01/03/2024 10:55:00
Temperature,Yes,5,01/03/2024 10:53:40
Temperature,Yes,15,01/03/2024 10:58:55
Temperature,Yes,96,01/03/2024 10:57:25
Temperature,Yes,93,01/03/2024 10:56:30
Temperature,Yes,64,01/03/2024 10:55:25
Temperature,Yes,80,01/03/2024 10:55:00
Temperature,Yes,96,01/03/2024 10:59:55
Temperature,Yes,96,01/03/2024 10:57:25
Temperature,Yes,93,01/03/2024 10:56:30
Temperature,Yes,64,01/03/2024 10:55:25
Temperature,Yes,13,01/03/2024 11:01:01
Temperature,Yes,96,01/03/2024 10:57:25
