ParameterName,IsSpike,Value,Time
Temperature,Yes,59,01/11/2024 15:55:52
Temperature,Yes,91,01/11/2024 15:55:42
Temperature,Yes,11,01/11/2024 15:55:17
Temperature,Yes,99,01/10/2024 12:55:37
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,55,01/10/2024 12:49:31
Temperature,Yes,55,01/10/2024 12:48:31
Temperature,Yes,55,01/10/2024 12:48:31
Temperature,Yes,96,01/11/2024 15:56:57
Temperature,Yes,37,01/11/2024 15:56:32
Temperature,Yes,21,01/11/2024 15:56:17
Temperature,Yes,8,01/11/2024 15:56:12
Temperature,Yes,58,01/11/2024 15:55:57
Temperature,Yes,59,01/11/2024 15:55:52
Temperature,Yes,91,01/11/2024 15:55:42
Temperature,Yes,87,01/11/2024 15:55:37
Temperature,Yes,11,01/11/2024 15:55:17
Temperature,Yes,99,01/10/2024 12:55:37
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,55,01/10/2024 12:49:31
Temperature,Yes,10,01/11/2024 15:57:52
Temperature,Yes,96,01/11/2024 15:57:32
Temperature,Yes,6,01/11/2024 15:57:22
Temperature,Yes,96,01/11/2024 15:56:57
Temperature,Yes,37,01/11/2024 15:56:32
Temperature,Yes,21,01/11/2024 15:56:17
Temperature,Yes,8,01/11/2024 15:56:12
Temperature,Yes,58,01/11/2024 15:55:57
Temperature,Yes,59,01/11/2024 15:55:52
Temperature,Yes,91,01/11/2024 15:55:42
Temperature,Yes,87,01/11/2024 15:55:37
Temperature,Yes,11,01/11/2024 15:55:17
Temperature,Yes,99,01/10/2024 12:55:37
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,55,01/10/2024 12:49:31
Temperature,Yes,2,01/11/2024 15:58:42
Temperature,Yes,56,01/11/2024 15:58:37
Temperature,Yes,99,01/11/2024 15:58:22
Temperature,Yes,27,01/11/2024 15:58:12
Temperature,Yes,10,01/11/2024 15:57:52
Temperature,Yes,96,01/11/2024 15:57:32
Temperature,Yes,6,01/11/2024 15:57:22
Temperature,Yes,96,01/11/2024 15:56:57
Temperature,Yes,37,01/11/2024 15:56:32
Temperature,Yes,21,01/11/2024 15:56:17
Temperature,Yes,8,01/11/2024 15:56:12
Temperature,Yes,58,01/11/2024 15:55:57
Temperature,Yes,59,01/11/2024 15:55:52
Temperature,Yes,91,01/11/2024 15:55:42
Temperature,Yes,87,01/11/2024 15:55:37
Temperature,Yes,11,01/11/2024 15:55:17
Temperature,Yes,99,01/10/2024 12:55:37
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,55,01/10/2024 12:55:31
Temperature,Yes,18,01/11/2024 16:00:02
Temperature,Yes,13,01/11/2024 15:59:57
Temperature,Yes,90,01/11/2024 15:59:22
Temperature,Yes,2,01/11/2024 15:59:12
Temperature,Yes,56,01/11/2024 15:58:37
Temperature,Yes,59,01/11/2024 15:58:27
Temperature,Yes,99,01/11/2024 15:58:22
Temperature,Yes,27,01/11/2024 15:58:12
Temperature,Yes,10,01/11/2024 15:57:52
Temperature,Yes,96,01/11/2024 15:57:32
Temperature,Yes,6,01/11/2024 15:57:22
Temperature,Yes,96,01/11/2024 15:56:57
Temperature,Yes,37,01/11/2024 15:56:32
Temperature,Yes,21,01/11/2024 15:56:17
Temperature,Yes,8,01/11/2024 15:56:12
Temperature,Yes,58,01/11/2024 15:55:57
Temperature,Yes,59,01/11/2024 15:55:52
Temperature,Yes,91,01/11/2024 15:55:42
Temperature,Yes,87,01/11/2024 15:55:37
Temperature,Yes,76,01/11/2024 16:00:42
Temperature,Yes,98,01/11/2024 16:00:22
Temperature,Yes,18,01/11/2024 16:00:02
Temperature,Yes,13,01/11/2024 15:59:57
Temperature,Yes,81,01/11/2024 15:59:32
Temperature,Yes,2,01/11/2024 15:59:12
Temperature,Yes,56,01/11/2024 15:58:37
Temperature,Yes,59,01/11/2024 15:58:27
Temperature,Yes,99,01/11/2024 15:58:22
Temperature,Yes,27,01/11/2024 15:58:12
Temperature,Yes,10,01/11/2024 15:57:52
Temperature,Yes,96,01/11/2024 15:57:32
Temperature,Yes,6,01/11/2024 15:57:22
Temperature,Yes,96,01/11/2024 15:56:57
Temperature,Yes,37,01/11/2024 15:56:32
