ParameterName,IsChangePoint,Value,Time
Temperature,Yes,44,01/04/2024 07:04:07
Temperature,Yes,67,01/04/2024 07:03:42
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,87,01/03/2024 11:48:41
Temperature,Yes,77,01/03/2024 11:47:25
Temperature,Yes,5,01/03/2024 11:46:50
Temperature,Yes,50,01/04/2024 07:05:07
Temperature,Yes,88,01/04/2024 07:04:27
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,87,01/03/2024 11:48:41
Temperature,Yes,77,01/03/2024 11:47:25
Temperature,Yes,67,01/04/2024 07:06:44
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,24,01/04/2024 07:04:32
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,62,01/03/2024 11:49:36
Temperature,Yes,74,01/04/2024 07:07:44
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,24,01/04/2024 07:04:32
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,62,01/03/2024 11:49:36
Temperature,Yes,56,01/04/2024 07:08:44
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,24,01/04/2024 07:04:32
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,59,01/04/2024 07:09:44
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,94,01/04/2024 07:08:49
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,78,01/04/2024 07:10:44
Temperature,Yes,69,01/04/2024 07:10:19
Temperature,Yes,74,01/04/2024 07:09:54
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,56,01/04/2024 07:08:44
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,97,01/04/2024 07:07:09
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,22,01/04/2024 07:11:44
Temperature,Yes,45,01/04/2024 07:11:19
Temperature,Yes,95,01/04/2024 07:10:49
Temperature,Yes,68,01/04/2024 07:10:24
Temperature,Yes,98,01/04/2024 07:09:59
Temperature,Yes,21,01/04/2024 07:09:19
Temperature,Yes,56,01/04/2024 07:08:44
Temperature,Yes,36,01/04/2024 07:08:19
Temperature,Yes,93,01/04/2024 07:07:39
Temperature,Yes,97,01/04/2024 07:07:09
