ParameterName,IsSpike,Value,Time
Temperature,Yes,26,01/03/2024 10:26:34
Temperature,Yes,97,01/03/2024 10:26:31
Temperature,Yes,47,01/03/2024 10:26:29
Temperature,Yes,42,01/03/2024 10:26:28
Temperature,Yes,11,01/03/2024 10:26:21
Temperature,Yes,81,01/03/2024 10:26:14
Temperature,Yes,24,01/03/2024 10:26:10
Temperature,Yes,77,01/03/2024 10:26:08
Temperature,Yes,91,01/03/2024 10:26:01
Temperature,Yes,55,01/03/2024 10:25:52
Temperature,Yes,31,01/03/2024 10:25:49
Temperature,Yes,75,01/03/2024 10:25:47
Temperature,Yes,3,01/03/2024 10:25:43
Temperature,Yes,97,01/03/2024 10:25:39
Temperature,Yes,81,01/03/2024 10:26:40
Temperature,Yes,76,01/03/2024 10:26:33
Temperature,Yes,75,01/03/2024 10:26:30
Temperature,Yes,47,01/03/2024 10:26:29
Temperature,Yes,71,01/03/2024 10:26:25
Temperature,Yes,11,01/03/2024 10:26:21
Temperature,Yes,81,01/03/2024 10:26:14
Temperature,Yes,24,01/03/2024 10:26:10
Temperature,Yes,77,01/03/2024 10:26:08
Temperature,Yes,91,01/03/2024 10:26:01
Temperature,Yes,55,01/03/2024 10:25:52
Temperature,Yes,31,01/03/2024 10:25:49
Temperature,Yes,73,01/03/2024 10:29:45
Temperature,Yes,97,01/03/2024 10:29:44
Temperature,Yes,96,01/03/2024 10:29:43
Temperature,Yes,12,01/03/2024 10:29:40
Temperature,Yes,74,01/03/2024 10:29:35
Temperature,Yes,28,01/03/2024 10:29:34
Temperature,Yes,21,01/03/2024 10:29:32
Temperature,Yes,63,01/03/2024 10:29:27
Temperature,Yes,67,01/03/2024 10:29:26
Temperature,Yes,17,01/03/2024 10:29:22
Temperature,Yes,92,01/03/2024 10:29:19
Temperature,Yes,15,01/03/2024 10:29:14
Temperature,Yes,87,01/03/2024 10:29:13
Temperature,Yes,26,01/03/2024 10:29:08
Temperature,Yes,84,01/03/2024 10:29:02
Temperature,Yes,53,01/03/2024 10:29:01
Temperature,Yes,38,01/03/2024 10:29:00
Temperature,Yes,28,01/03/2024 10:28:59
Temperature,Yes,56,01/03/2024 10:28:51
Temperature,Yes,76,01/03/2024 10:28:50
Temperature,Yes,8,01/03/2024 10:30:48
Temperature,Yes,11,01/03/2024 10:30:45
Temperature,Yes,73,01/03/2024 10:30:43
Temperature,Yes,94,01/03/2024 10:30:38
Temperature,Yes,2,01/03/2024 10:30:33
Temperature,Yes,5,01/03/2024 10:30:32
Temperature,Yes,82,01/03/2024 10:30:29
Temperature,Yes,3,01/03/2024 10:30:24
Temperature,Yes,18,01/03/2024 10:30:14
Temperature,Yes,19,01/03/2024 10:30:13
Temperature,Yes,84,01/03/2024 10:30:08
Temperature,Yes,71,01/03/2024 10:30:07
Temperature,Yes,74,01/03/2024 10:30:03
Temperature,Yes,44,01/03/2024 10:30:02
Temperature,Yes,57,01/03/2024 10:30:01
Temperature,Yes,3,01/03/2024 10:30:00
Temperature,Yes,99,01/03/2024 10:29:58
Temperature,Yes,98,01/03/2024 10:29:54
Temperature,Yes,13,01/03/2024 10:31:42
Temperature,Yes,98,01/03/2024 10:31:41
Temperature,Yes,87,01/03/2024 10:31:32
Temperature,Yes,92,01/03/2024 10:31:29
Temperature,Yes,6,01/03/2024 10:31:26
Temperature,Yes,70,01/03/2024 10:31:18
Temperature,Yes,1,01/03/2024 10:31:17
Temperature,Yes,8,01/03/2024 10:31:10
Temperature,Yes,94,01/03/2024 10:31:08
Temperature,Yes,95,01/03/2024 10:31:07
Temperature,Yes,58,01/03/2024 10:31:01
Temperature,Yes,82,01/03/2024 10:30:59
Temperature,Yes,97,01/03/2024 10:30:56
Temperature,Yes,96,01/03/2024 10:32:51
Temperature,Yes,84,01/03/2024 10:32:49
Temperature,Yes,30,01/03/2024 10:32:48
Temperature,Yes,3,01/03/2024 10:32:42
Temperature,Yes,93,01/03/2024 10:32:41
Temperature,Yes,67,01/03/2024 10:32:38
Temperature,Yes,91,01/03/2024 10:32:37
Temperature,Yes,6,01/03/2024 10:32:36
Temperature,Yes,78,01/03/2024 10:32:28
Temperature,Yes,1,01/03/2024 10:32:25
Temperature,Yes,50,01/03/2024 10:32:20
Temperature,Yes,46,01/03/2024 10:32:19
Temperature,Yes,94,01/03/2024 10:32:17
Temperature,Yes,97,01/03/2024 10:32:15
Temperature,Yes,3,01/03/2024 10:32:10
Temperature,Yes,80,01/03/2024 10:32:09
Temperature,Yes,97,01/03/2024 10:32:08
Temperature,Yes,4,01/03/2024 10:32:03
Temperature,Yes,12,01/03/2024 10:32:01
Temperature,Yes,97,01/03/2024 10:33:50
Temperature,Yes,25,01/03/2024 10:33:44
Temperature,Yes,10,01/03/2024 10:33:42
Temperature,Yes,40,01/03/2024 10:33:39
Temperature,Yes,13,01/03/2024 10:33:38
Temperature,Yes,49,01/03/2024 10:33:34
Temperature,Yes,33,01/03/2024 10:33:32
Temperature,Yes,92,01/03/2024 10:33:31
Temperature,Yes,97,01/03/2024 10:33:25
Temperature,Yes,65,01/03/2024 10:33:20
Temperature,Yes,43,01/03/2024 10:33:14
Temperature,Yes,40,01/03/2024 10:33:10
Temperature,Yes,13,01/03/2024 10:33:09
Temperature,Yes,0,01/03/2024 10:33:06
Temperature,Yes,58,01/03/2024 10:33:05
Temperature,Yes,81,01/03/2024 10:33:03
Temperature,Yes,20,01/03/2024 10:34:55
Temperature,Yes,57,01/03/2024 10:34:51
Temperature,Yes,66,01/03/2024 10:34:49
Temperature,Yes,79,01/03/2024 10:34:45
Temperature,Yes,18,01/03/2024 10:34:44
Temperature,Yes,1,01/03/2024 10:34:43
Temperature,Yes,97,01/03/2024 10:34:37
Temperature,Yes,93,01/03/2024 10:34:31
Temperature,Yes,25,01/03/2024 10:34:27
Temperature,Yes,11,01/03/2024 10:34:24
Temperature,Yes,81,01/03/2024 10:34:23
Temperature,Yes,6,01/03/2024 10:34:20
Temperature,Yes,76,01/03/2024 10:34:16
Temperature,Yes,66,01/03/2024 10:34:15
Temperature,Yes,12,01/03/2024 10:34:13
Temperature,Yes,99,01/03/2024 10:34:12
Temperature,Yes,99,01/03/2024 10:34:03
Temperature,Yes,22,01/03/2024 10:35:55
Temperature,Yes,64,01/03/2024 10:35:54
Temperature,Yes,82,01/03/2024 10:35:51
Temperature,Yes,98,01/03/2024 10:35:49
Temperature,Yes,5,01/03/2024 10:35:46
Temperature,Yes,6,01/03/2024 10:35:44
Temperature,Yes,91,01/03/2024 10:35:43
Temperature,Yes,77,01/03/2024 10:35:34
Temperature,Yes,1,01/03/2024 10:35:29
Temperature,Yes,97,01/03/2024 10:35:19
Temperature,Yes,33,01/03/2024 10:35:16
Temperature,Yes,14,01/03/2024 10:35:09
Temperature,Yes,83,01/03/2024 10:35:05
Temperature,Yes,82,01/03/2024 10:35:02
Temperature,Yes,99,01/03/2024 10:35:01
Temperature,Yes,40,01/03/2024 10:36:57
Temperature,Yes,2,01/03/2024 10:36:56
Temperature,Yes,13,01/03/2024 10:36:50
Temperature,Yes,88,01/03/2024 10:36:48
Temperature,Yes,60,01/03/2024 10:36:46
Temperature,Yes,35,01/03/2024 10:36:41
Temperature,Yes,82,01/03/2024 10:36:40
Temperature,Yes,3,01/03/2024 10:36:39
Temperature,Yes,9,01/03/2024 10:36:33
