ParameterName,IsAnomaly,ActualValue,ExpectedValue,Time
Temperature,Yes,8,28.62016407079308,01/10/2024 12:43:53
Temperature,Yes,5,11.914188728848167,01/10/2024 12:42:58
Temperature,Yes,90,84.70862986599627,01/10/2024 12:42:48
Temperature,Yes,7,30.681422014469653,01/10/2024 12:41:22
Temperature,Yes,8,28.62016407079308,01/10/2024 12:43:53
Temperature,Yes,5,11.914188728848167,01/10/2024 12:42:58
Temperature,Yes,90,84.70862986599627,01/10/2024 12:42:48
Temperature,Yes,7,30.681422014469653,01/10/2024 12:41:22
Temperature,Yes,94,81.76914859471431,01/10/2024 12:44:48
Temperature,Yes,7,19.820344521272993,01/10/2024 12:44:28
Temperature,Yes,97,71.96513731794579,01/10/2024 12:44:23
Temperature,Yes,8,46.006591996894414,01/10/2024 12:43:53
Temperature,Yes,5,27.805027325267986,01/10/2024 12:42:58
Temperature,Yes,9,23.049550469359282,01/10/2024 12:42:33
Temperature,Yes,7,36.958405905045424,01/10/2024 12:41:22
Temperature,Yes,94,81.76914859471431,01/10/2024 12:44:48
Temperature,Yes,7,19.82034452127299,01/10/2024 12:44:28
Temperature,Yes,97,71.9651373179458,01/10/2024 12:44:23
Temperature,Yes,8,46.006591996894414,01/10/2024 12:43:53
Temperature,Yes,5,27.805027325267982,01/10/2024 12:42:58
Temperature,Yes,9,23.049550469359282,01/10/2024 12:42:33
Temperature,Yes,7,36.95840590504543,01/10/2024 12:41:22
Temperature,Yes,97,104.4421419507518,01/10/2024 12:45:48
Temperature,Yes,98,73.63164780919443,01/10/2024 12:45:28
Temperature,Yes,97,72.39601746719846,01/10/2024 12:44:23
Temperature,Yes,5,25.283169976528434,01/10/2024 12:42:58
Temperature,Yes,97,104.44214195075179,01/10/2024 12:45:48
Temperature,Yes,98,73.63164780919443,01/10/2024 12:45:28
Temperature,Yes,97,72.39601746719848,01/10/2024 12:44:23
Temperature,Yes,5,25.28316997652844,01/10/2024 12:42:58
Temperature,Yes,98,108.15767662714615,01/10/2024 12:48:16
Temperature,Yes,97,105.04002724664333,01/10/2024 12:45:48
Temperature,Yes,98,73.30250365551737,01/10/2024 12:45:28
Temperature,Yes,7,20.98806662576271,01/10/2024 12:44:28
Temperature,Yes,97,77.15700908814513,01/10/2024 12:44:23
Temperature,Yes,8,39.98595610978266,01/10/2024 12:43:53
Temperature,Yes,9,18.751825192874303,01/10/2024 12:43:18
Temperature,Yes,5,19.35991546605141,01/10/2024 12:42:58
Temperature,Yes,9,18.346303502107503,01/10/2024 12:42:33
Temperature,Yes,7,14.690174610797285,01/10/2024 12:41:22
Temperature,Yes,98,108.15767662714615,01/10/2024 12:48:16
Temperature,Yes,97,105.04002724664333,01/10/2024 12:45:48
Temperature,Yes,98,73.30250365551737,01/10/2024 12:45:28
Temperature,Yes,7,20.98806662576271,01/10/2024 12:44:28
Temperature,Yes,97,77.15700908814514,01/10/2024 12:44:23
Temperature,Yes,8,39.98595610978267,01/10/2024 12:43:53
Temperature,Yes,9,18.751825192874303,01/10/2024 12:43:18
Temperature,Yes,5,19.359915466051415,01/10/2024 12:42:58
Temperature,Yes,9,18.346303502107503,01/10/2024 12:42:33
Temperature,Yes,7,14.690174610797285,01/10/2024 12:41:22
Temperature,Yes,95,75.53444213278699,01/10/2024 12:48:38
Temperature,Yes,98,105.28131149709914,01/10/2024 12:48:16
Temperature,Yes,93,87.48603137242998,01/10/2024 12:46:03
Temperature,Yes,97,106.13434347962821,01/10/2024 12:45:48
Temperature,Yes,14,0,01/10/2024 12:45:38
Temperature,Yes,98,72.29572404515143,01/10/2024 12:45:28
Temperature,Yes,10,38.07092959411932,01/10/2024 12:45:08
Temperature,Yes,93,65.91058324942098,01/10/2024 12:45:03
Temperature,Yes,94,79.29754428455392,01/10/2024 12:44:48
Temperature,Yes,7,21.827245311536167,01/10/2024 12:44:28
Temperature,Yes,97,74.87646930387531,01/10/2024 12:44:23
Temperature,Yes,8,41.0643849143582,01/10/2024 12:43:53
Temperature,Yes,9,16.477517773758628,01/10/2024 12:43:18
Temperature,Yes,5,21.632393217813554,01/10/2024 12:42:58
Temperature,Yes,92,81.81118969799056,01/10/2024 12:42:53
Temperature,Yes,9,19.345743175636468,01/10/2024 12:42:33
Temperature,Yes,11,39.569341520116325,01/10/2024 12:42:18
Temperature,Yes,14,44.478706553823535,01/10/2024 12:42:08
Temperature,Yes,7,24.829766946975006,01/10/2024 12:41:22
Temperature,Yes,95,75.53444213278699,01/10/2024 12:48:38
Temperature,Yes,98,105.28131149709917,01/10/2024 12:48:16
Temperature,Yes,93,87.48603137242998,01/10/2024 12:46:03
Temperature,Yes,97,106.13434347962821,01/10/2024 12:45:48
Temperature,Yes,14,0,01/10/2024 12:45:38
Temperature,Yes,98,72.29572404515145,01/10/2024 12:45:28
Temperature,Yes,10,38.07092959411931,01/10/2024 12:45:08
Temperature,Yes,93,65.91058324942098,01/10/2024 12:45:03
Temperature,Yes,94,79.29754428455392,01/10/2024 12:44:48
Temperature,Yes,7,21.827245311536153,01/10/2024 12:44:28
Temperature,Yes,97,74.87646930387531,01/10/2024 12:44:23
Temperature,Yes,8,41.06438491435818,01/10/2024 12:43:53
Temperature,Yes,9,16.47751777375863,01/10/2024 12:43:18
Temperature,Yes,5,21.63239321781357,01/10/2024 12:42:58
Temperature,Yes,92,81.81118969799057,01/10/2024 12:42:53
Temperature,Yes,9,19.345743175636468,01/10/2024 12:42:33
Temperature,Yes,11,39.56934152011633,01/10/2024 12:42:18
Temperature,Yes,14,44.478706553823535,01/10/2024 12:42:08
Temperature,Yes,7,24.82976694697501,01/10/2024 12:41:22
Temperature,Yes,95,84.4446387423321,01/10/2024 12:48:38
Temperature,Yes,98,105.59252685793321,01/10/2024 12:48:16
Temperature,Yes,91,85.06121070080367,01/10/2024 12:48:11
Temperature,Yes,93,87.38132628430978,01/10/2024 12:46:03
Temperature,Yes,97,105.99690326148307,01/10/2024 12:45:48
Temperature,Yes,14,0,01/10/2024 12:45:38
Temperature,Yes,98,72.41764557853533,01/10/2024 12:45:28
Temperature,Yes,10,37.96064944606119,01/10/2024 12:45:08
Temperature,Yes,93,65.98575038956264,01/10/2024 12:45:03
Temperature,Yes,94,79.39984195021476,01/10/2024 12:44:48
Temperature,Yes,7,21.72912369441454,01/10/2024 12:44:28
Temperature,Yes,97,74.9447948815031,01/10/2024 12:44:23
Temperature,Yes,8,41.137544181606614,01/10/2024 12:43:53
Temperature,Yes,9,16.47519752726516,01/10/2024 12:43:18
Temperature,Yes,5,21.636048516912933,01/10/2024 12:42:58
Temperature,Yes,92,81.67932746986159,01/10/2024 12:42:53
Temperature,Yes,9,19.53959809651976,01/10/2024 12:42:33
Temperature,Yes,11,39.57861439792959,01/10/2024 12:42:18
Temperature,Yes,14,45.001858574968416,01/10/2024 12:42:08
Temperature,Yes,7,16.903465812961404,01/10/2024 12:41:22
Temperature,Yes,95,84.4446387423321,01/10/2024 12:48:38
Temperature,Yes,98,105.59252685793322,01/10/2024 12:48:16
Temperature,Yes,91,85.06121070080368,01/10/2024 12:48:11
Temperature,Yes,93,87.38132628430978,01/10/2024 12:46:03
Temperature,Yes,97,105.99690326148311,01/10/2024 12:45:48
Temperature,Yes,14,0,01/10/2024 12:45:38
Temperature,Yes,98,72.41764557853533,01/10/2024 12:45:28
Temperature,Yes,10,37.96064944606119,01/10/2024 12:45:08
Temperature,Yes,93,65.98575038956263,01/10/2024 12:45:03
Temperature,Yes,94,79.39984195021476,01/10/2024 12:44:48
Temperature,Yes,7,21.729123694414536,01/10/2024 12:44:28
Temperature,Yes,97,74.9447948815031,01/10/2024 12:44:23
Temperature,Yes,8,41.137544181606614,01/10/2024 12:43:53
Temperature,Yes,9,16.475197527265152,01/10/2024 12:43:18
Temperature,Yes,5,21.636048516912933,01/10/2024 12:42:58
Temperature,Yes,92,81.67932746986159,01/10/2024 12:42:53
Temperature,Yes,9,19.53959809651976,01/10/2024 12:42:33
Temperature,Yes,11,39.5786143979296,01/10/2024 12:42:18
Temperature,Yes,14,45.00185857496843,01/10/2024 12:42:08
Temperature,Yes,7,16.903465812961418,01/10/2024 12:41:22
