ParameterName,IsSpike,Value,Time
Temperature,Yes,9,01/10/2024 12:42:33
Temperature,Yes,79,01/10/2024 12:41:38
Temperature,Yes,7,01/10/2024 12:41:22
Temperature,Yes,9,01/10/2024 12:43:18
Temperature,Yes,5,01/10/2024 12:42:58
Temperature,Yes,92,01/10/2024 12:42:53
Temperature,Yes,9,01/10/2024 12:42:33
Temperature,Yes,79,01/10/2024 12:41:38
Temperature,Yes,7,01/10/2024 12:41:22
Temperature,Yes,23,01/10/2024 12:44:33
Temperature,Yes,7,01/10/2024 12:44:28
Temperature,Yes,79,01/10/2024 12:43:33
Temperature,Yes,9,01/10/2024 12:43:18
Temperature,Yes,5,01/10/2024 12:42:58
Temperature,Yes,92,01/10/2024 12:42:53
Temperature,Yes,9,01/10/2024 12:42:33
Temperature,Yes,79,01/10/2024 12:41:38
Temperature,Yes,7,01/10/2024 12:41:22
Temperature,Yes,33,01/10/2024 12:46:29
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,97,01/10/2024 12:46:08
Temperature,Yes,27,01/10/2024 12:45:43
Temperature,Yes,10,01/10/2024 12:45:08
Temperature,Yes,93,01/10/2024 12:45:03
Temperature,Yes,23,01/10/2024 12:44:33
Temperature,Yes,7,01/10/2024 12:44:28
Temperature,Yes,8,01/10/2024 12:43:53
Temperature,Yes,79,01/10/2024 12:43:33
Temperature,Yes,9,01/10/2024 12:43:18
Temperature,Yes,5,01/10/2024 12:42:58
Temperature,Yes,92,01/10/2024 12:42:53
Temperature,Yes,9,01/10/2024 12:42:33
Temperature,Yes,98,01/10/2024 12:48:16
Temperature,Yes,39,01/10/2024 12:47:19
Temperature,Yes,17,01/10/2024 12:47:04
Temperature,Yes,87,01/10/2024 12:46:39
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,97,01/10/2024 12:46:08
Temperature,Yes,93,01/10/2024 12:46:03
Temperature,Yes,27,01/10/2024 12:45:43
Temperature,Yes,93,01/10/2024 12:45:03
Temperature,Yes,77,01/10/2024 12:44:53
Temperature,Yes,23,01/10/2024 12:44:33
Temperature,Yes,7,01/10/2024 12:44:28
Temperature,Yes,28,01/10/2024 12:43:43
Temperature,Yes,45,01/10/2024 12:43:38
Temperature,Yes,9,01/10/2024 12:43:18
Temperature,Yes,62,01/10/2024 12:43:03
Temperature,Yes,5,01/10/2024 12:42:58
Temperature,Yes,55,01/10/2024 12:48:31
Temperature,Yes,59,01/10/2024 12:48:36
Temperature,Yes,34,01/10/2024 12:48:26
Temperature,Yes,86,01/10/2024 12:48:21
Temperature,Yes,98,01/10/2024 12:48:16
Temperature,Yes,39,01/10/2024 12:47:19
Temperature,Yes,17,01/10/2024 12:47:04
Temperature,Yes,87,01/10/2024 12:46:39
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,97,01/10/2024 12:46:08
Temperature,Yes,93,01/10/2024 12:46:03
Temperature,Yes,27,01/10/2024 12:45:43
Temperature,Yes,93,01/10/2024 12:45:03
Temperature,Yes,77,01/10/2024 12:44:53
Temperature,Yes,55,01/10/2024 12:49:31
Temperature,Yes,95,01/10/2024 12:48:38
Temperature,Yes,55,01/10/2024 12:48:31
Temperature,Yes,59,01/10/2024 12:48:36
Temperature,Yes,34,01/10/2024 12:48:26
Temperature,Yes,86,01/10/2024 12:48:21
Temperature,Yes,98,01/10/2024 12:48:16
Temperature,Yes,39,01/10/2024 12:47:19
Temperature,Yes,17,01/10/2024 12:47:04
Temperature,Yes,87,01/10/2024 12:46:39
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,97,01/10/2024 12:46:08
Temperature,Yes,93,01/10/2024 12:46:03
Temperature,Yes,27,01/10/2024 12:45:43
