ParameterName,IsSpike,Value,Time
Temperature,Yes,44,01/04/2024 07:04:07
Temperature,Yes,21,01/04/2024 07:04:02
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,46,01/03/2024 11:50:16
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,15,01/03/2024 11:49:41
Temperature,Yes,61,01/03/2024 11:49:21
Temperature,Yes,73,01/03/2024 11:48:51
Temperature,Yes,43,01/03/2024 11:48:46
Temperature,Yes,87,01/03/2024 11:48:41
Temperature,Yes,19,01/03/2024 11:48:31
Temperature,Yes,18,01/03/2024 11:48:21
Temperature,Yes,97,01/03/2024 11:48:16
Temperature,Yes,25,01/03/2024 11:48:06
Temperature,Yes,80,01/03/2024 11:47:45
Temperature,Yes,76,01/03/2024 11:47:15
Temperature,Yes,16,01/03/2024 11:46:55
Temperature,Yes,5,01/03/2024 11:46:50
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,24,01/04/2024 07:04:32
Temperature,Yes,88,01/04/2024 07:04:27
Temperature,Yes,44,01/04/2024 07:04:07
Temperature,Yes,21,01/04/2024 07:04:02
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,46,01/03/2024 11:50:16
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,15,01/03/2024 11:49:41
Temperature,Yes,61,01/03/2024 11:49:21
Temperature,Yes,73,01/03/2024 11:48:51
Temperature,Yes,43,01/03/2024 11:48:46
Temperature,Yes,87,01/03/2024 11:48:41
Temperature,Yes,19,01/03/2024 11:48:31
Temperature,Yes,18,01/03/2024 11:48:21
Temperature,Yes,97,01/03/2024 11:48:16
Temperature,Yes,25,01/03/2024 11:48:06
Temperature,Yes,80,01/03/2024 11:47:45
Temperature,Yes,25,01/04/2024 07:06:29
Temperature,Yes,94,01/04/2024 07:06:19
Temperature,Yes,30,01/04/2024 07:05:42
Temperature,Yes,44,01/04/2024 07:05:27
Temperature,Yes,49,01/04/2024 07:05:22
Temperature,Yes,62,01/04/2024 07:05:17
Temperature,Yes,86,01/04/2024 07:05:02
Temperature,Yes,24,01/04/2024 07:04:32
Temperature,Yes,21,01/04/2024 07:04:02
Temperature,Yes,89,01/04/2024 07:03:47
Temperature,Yes,46,01/03/2024 11:50:16
Temperature,Yes,15,01/03/2024 11:50:06
Temperature,Yes,61,01/03/2024 11:49:56
Temperature,Yes,7,01/03/2024 11:49:46
