ParameterName,IsChangePoint,Value,Time
Temperature,Yes,64,01/31/2024 07:30:45
Temperature,Yes,2,01/31/2024 07:30:00
Temperature,Yes,4,01/31/2024 07:29:25
Temperature,Yes,79,01/31/2024 07:31:45
Temperature,Yes,5,01/31/2024 07:30:50
Temperature,Yes,2,01/31/2024 07:30:00
Temperature,Yes,4,01/31/2024 07:29:25
Temperature,Yes,82,01/31/2024 07:32:45
Temperature,Yes,0,01/31/2024 07:32:10
Temperature,Yes,79,01/31/2024 07:31:45
Temperature,Yes,94,01/31/2024 07:31:10
Temperature,Yes,64,01/31/2024 07:30:45
Temperature,Yes,2,01/31/2024 07:30:00
Temperature,Yes,4,01/31/2024 07:29:25
Temperature,Yes,48,01/31/2024 07:33:50
Temperature,Yes,26,01/31/2024 07:32:40
Temperature,Yes,2,01/31/2024 07:32:00
Temperature,Yes,94,01/31/2024 07:31:10
Temperature,Yes,64,01/31/2024 07:30:45
Temperature,Yes,2,01/31/2024 07:30:00
Temperature,Yes,4,01/31/2024 07:29:25
Temperature,Yes,11,01/31/2024 07:34:50
Temperature,Yes,61,01/31/2024 07:33:55
Temperature,Yes,2,01/31/2024 07:32:00
Temperature,Yes,94,01/31/2024 07:31:10
Temperature,Yes,64,01/31/2024 07:30:45
Temperature,Yes,92,01/31/2024 07:35:51
Temperature,Yes,51,01/31/2024 07:35:25
Temperature,Yes,27,01/31/2024 07:35:00
Temperature,Yes,61,01/31/2024 07:33:55
Temperature,Yes,2,01/31/2024 07:32:00
Temperature,Yes,61,01/31/2024 07:36:56
Temperature,Yes,15,01/31/2024 07:35:41
Temperature,Yes,27,01/31/2024 07:35:00
Temperature,Yes,61,01/31/2024 07:33:55
Temperature,Yes,77,01/31/2024 07:37:56
Temperature,Yes,96,01/31/2024 07:37:01
Temperature,Yes,15,01/31/2024 07:35:41
Temperature,Yes,27,01/31/2024 07:35:00
Temperature,Yes,61,01/31/2024 07:33:55
Temperature,Yes,88,01/31/2024 07:39:01
Temperature,Yes,26,01/31/2024 07:38:36
Temperature,Yes,96,01/31/2024 07:37:01
Temperature,Yes,15,01/31/2024 07:35:41
Temperature,Yes,27,01/31/2024 07:35:00
Temperature,Yes,90,01/31/2024 07:40:01
Temperature,Yes,82,01/31/2024 07:39:26
Temperature,Yes,2,01/31/2024 07:38:46
Temperature,Yes,96,01/31/2024 07:37:01
Temperature,Yes,15,01/31/2024 07:35:41
Temperature,Yes,56,01/31/2024 07:41:01
Temperature,Yes,81,01/31/2024 07:40:26
Temperature,Yes,90,01/31/2024 07:40:01
Temperature,Yes,82,01/31/2024 07:39:26
Temperature,Yes,2,01/31/2024 07:38:46
Temperature,Yes,96,01/31/2024 07:37:01
Temperature,Yes,23,01/31/2024 07:42:01
Temperature,Yes,56,01/31/2024 07:40:31
Temperature,Yes,1,01/31/2024 07:40:06
Temperature,Yes,82,01/31/2024 07:39:26
Temperature,Yes,2,01/31/2024 07:38:46
Temperature,Yes,95,01/31/2024 07:43:01
Temperature,Yes,99,01/31/2024 07:42:36
Temperature,Yes,19,01/31/2024 07:42:11
Temperature,Yes,63,01/31/2024 07:41:46
Temperature,Yes,81,01/31/2024 07:40:26
Temperature,Yes,90,01/31/2024 07:40:01
Temperature,Yes,82,01/31/2024 07:39:26
