ParameterName,IsAnomaly,ActualValue,ExpectedValue,Time
Temperature,Yes,11,53.7398496642751,01/03/2024 10:26:21
Temperature,Yes,11,41.70814496582813,01/03/2024 10:26:02
Temperature,Yes,2,38.11396235487927,01/03/2024 10:25:57
Temperature,Yes,3,22.939207852253563,01/03/2024 10:25:43
Temperature,Yes,8,42.20727897357697,01/03/2024 10:25:38
Temperature,Yes,1,8.380429133016461,01/03/2024 10:25:28
Temperature,Yes,1,19.448133760863165,01/03/2024 10:25:22
Temperature,Yes,1,9.237459973020549,01/03/2024 10:25:00
Temperature,Yes,8,28.23134264597762,01/03/2024 10:24:44
Temperature,Yes,12,37.83354581507655,01/03/2024 10:24:42
Temperature,Yes,11,53.7398496642751,01/03/2024 10:26:21
Temperature,Yes,11,41.708144965828126,01/03/2024 10:26:02
Temperature,Yes,2,38.113962354879284,01/03/2024 10:25:57
Temperature,Yes,3,22.939207852253563,01/03/2024 10:25:43
Temperature,Yes,8,42.20727897357697,01/03/2024 10:25:38
Temperature,Yes,1,8.380429133016461,01/03/2024 10:25:28
Temperature,Yes,1,19.448133760863165,01/03/2024 10:25:22
Temperature,Yes,1,9.237459973020549,01/03/2024 10:25:00
Temperature,Yes,8,28.231342645977616,01/03/2024 10:24:44
Temperature,Yes,12,37.833545815076555,01/03/2024 10:24:42
Temperature,Yes,5,20.42313026993399,01/03/2024 10:26:41
Temperature,Yes,99,116.38362855240243,01/03/2024 10:26:39
Temperature,Yes,99,67.71014268978186,01/03/2024 10:26:35
Temperature,Yes,11,54.101610042192,01/03/2024 10:26:21
Temperature,Yes,11,42.74523410579649,01/03/2024 10:26:02
Temperature,Yes,2,37.96891877343026,01/03/2024 10:25:57
Temperature,Yes,3,21.642361606617044,01/03/2024 10:25:43
Temperature,Yes,8,40.74965299250388,01/03/2024 10:25:38
Temperature,Yes,99,78.00449067240696,01/03/2024 10:25:35
Temperature,Yes,1,9.172655334711614,01/03/2024 10:25:28
