ParameterName,IsAnomaly,ActualValue,ExpectedValue,Time
Temperature,Yes,5,34.60888664185638,01/31/2024 07:30:50
Temperature,Yes,2,24.99484696919213,01/31/2024 07:30:00
Temperature,Yes,4,38.68902674572411,01/31/2024 07:29:25
Temperature,Yes,5,34.60888664185638,01/31/2024 07:30:50
Temperature,Yes,2,24.99484696919213,01/31/2024 07:30:00
Temperature,Yes,4,38.68902674572411,01/31/2024 07:29:25
Temperature,Yes,2,12.411540903840287,01/31/2024 07:32:00
Temperature,Yes,5,28.5997685534499,01/31/2024 07:30:50
Temperature,Yes,2,26.12623450661612,01/31/2024 07:30:00
Temperature,Yes,4,42.1985695737443,01/31/2024 07:29:25
Temperature,Yes,2,12.411540903840288,01/31/2024 07:32:00
Temperature,Yes,5,28.59976855344989,01/31/2024 07:30:50
Temperature,Yes,2,26.12623450661612,01/31/2024 07:30:00
Temperature,Yes,4,42.1985695737443,01/31/2024 07:29:25
Temperature,Yes,13,27.867906309706843,01/31/2024 07:32:50
Temperature,Yes,0,7.642686587582867,01/31/2024 07:32:10
Temperature,Yes,4,0,01/31/2024 07:32:05
Temperature,Yes,2,20.752973911967793,01/31/2024 07:32:00
Temperature,Yes,5,26.768539009520627,01/31/2024 07:30:50
Temperature,Yes,2,22.99418112152812,01/31/2024 07:30:00
Temperature,Yes,4,43.479484855007414,01/31/2024 07:29:25
Temperature,Yes,13,27.867906309706843,01/31/2024 07:32:50
Temperature,Yes,0,7.642686587582865,01/31/2024 07:32:10
Temperature,Yes,4,0,01/31/2024 07:32:05
Temperature,Yes,2,20.7529739119678,01/31/2024 07:32:00
Temperature,Yes,5,26.768539009520627,01/31/2024 07:30:50
Temperature,Yes,2,22.99418112152812,01/31/2024 07:30:00
Temperature,Yes,4,43.47948485500741,01/31/2024 07:29:25
Temperature,Yes,0,10.855888271636493,01/31/2024 07:32:10
Temperature,Yes,4,0,01/31/2024 07:32:05
Temperature,Yes,2,25.528869164411315,01/31/2024 07:32:00
Temperature,Yes,5,30.36223376661787,01/31/2024 07:30:50
Temperature,Yes,2,30.091490352628778,01/31/2024 07:30:00
Temperature,Yes,4,33.04756735926754,01/31/2024 07:29:25
Temperature,Yes,97,69.34996935074183,01/31/2024 07:29:20
Temperature,Yes,0,10.8558882716365,01/31/2024 07:32:10
Temperature,Yes,4,0,01/31/2024 07:32:05
Temperature,Yes,2,25.528869164411315,01/31/2024 07:32:00
Temperature,Yes,5,30.36223376661787,01/31/2024 07:30:50
Temperature,Yes,2,30.091490352628785,01/31/2024 07:30:00
Temperature,Yes,4,33.047567359267546,01/31/2024 07:29:25
Temperature,Yes,97,69.34996935074183,01/31/2024 07:29:20
Temperature,Yes,95,70.4751414405389,01/31/2024 07:34:45
Temperature,Yes,0,7.306595511768661,01/31/2024 07:32:10
Temperature,Yes,4,0,01/31/2024 07:32:05
Temperature,Yes,2,26.44032471011983,01/31/2024 07:32:00
Temperature,Yes,5,25.013804867233244,01/31/2024 07:30:50
Temperature,Yes,97,106.52584638352056,01/31/2024 07:30:30
Temperature,Yes,2,31.575861435410193,01/31/2024 07:30:00
Temperature,Yes,4,41.189802324990374,01/31/2024 07:29:25
Temperature,Yes,97,74.23313411484511,01/31/2024 07:29:20
Temperature,Yes,95,70.4751414405389,01/31/2024 07:34:45
Temperature,Yes,0,7.306595511768641,01/31/2024 07:32:10
Temperature,Yes,4,0,01/31/2024 07:32:05
Temperature,Yes,2,26.440324710119828,01/31/2024 07:32:00
Temperature,Yes,5,25.013804867233247,01/31/2024 07:30:50
Temperature,Yes,97,106.52584638352056,01/31/2024 07:30:30
Temperature,Yes,2,31.575861435410207,01/31/2024 07:30:00
Temperature,Yes,4,41.189802324990374,01/31/2024 07:29:25
Temperature,Yes,97,74.23313411484511,01/31/2024 07:29:20
Temperature,Yes,2,0,01/31/2024 07:35:36
Temperature,Yes,95,69.77471835031209,01/31/2024 07:34:45
Temperature,Yes,0,11.728932615940357,01/31/2024 07:32:10
Temperature,Yes,4,0,01/31/2024 07:32:05
Temperature,Yes,2,27.33606351808845,01/31/2024 07:32:00
